   hex | basic formatted name                              AGL name                 with extension                          range                                   uni name            
   B10 : orya-ai                                           odAi                     orya-ai                                 Oriya                                   ORIYA LETTER AI     
   B90 : taml-ai                                           taAi                     taml-ai                                 Tamil                                   TAMIL LETTER AI     
   C10 : telu-ai                                           teAi                     telu-ai                                 Telugu                                  TELUGU LETTER AI    
   C90 : knda-ai                                           knAi                     knda-ai                                 Kannada                                 KANNADA LETTER AI   
   D10 : mlym-ai                                           mlAi                     mlym-ai                                 Malayalam                               MALAYALAM LETTER AI 
  311E : bopo-ai                                           aibopomofo               bopo-ai                                 Bopomofo                                BOPOMOFO LETTER AI  
  A98D : java-ai                                           -                        java-ai                                 Javanese                                JAVANESE LETTER AI  

   B56 : orya-ailengthmark                                 odAilength               orya-ailengthmark                       Oriya                                   ORIYA AI LENGTH MARK
   C56 : telu-ailengthmark                                 teAilength               telu-ailengthmark                       Telugu                                  TELUGU AI LENGTH MARK

   639 : ar-ain                                            arAin                    ar-ain                                  Arabic                                  ARABIC LETTER AIN   
  1D25 : phon-ain                                          -                        phon-ain                                Phonetic Extensions                     LATIN LETTER AIN    

   948 : deva-aisign                                       dvAisign                 deva-aisign                             Devanagari                              DEVANAGARI VOWEL SIGN AI
   9C8 : beng-aisign                                       beAisign                 beng-aisign                             Bengali                                 BENGALI VOWEL SIGN AI
   A48 : guru-aisign                                       guAisign                 guru-aisign                             Gurmukhi                                GURMUKHI VOWEL SIGN AI
   AC8 : gujr-aisign                                       gjAisign                 gujr-aisign                             Gujarati                                GUJARATI VOWEL SIGN AI
   B48 : orya-aisign                                       odAisign                 orya-aisign                             Oriya                                   ORIYA VOWEL SIGN AI 
   BC8 : taml-aisign                                       taAisign                 taml-aisign                             Tamil                                   TAMIL VOWEL SIGN AI 
   C48 : telu-aisign                                       teAisign                 telu-aisign                             Telugu                                  TELUGU VOWEL SIGN AI
   CC8 : knda-aisign                                       knAisign                 knda-aisign                             Kannada                                 KANNADA VOWEL SIGN AI
   D48 : mlym-aisign                                       mlAisign                 mlym-aisign                             Malayalam                               MALAYALAM VOWEL SIGN AI

   5D0 : alef-hb                                           heAlef                   alef-hb                                 Hebrew                                  HEBREW LETTER ALEF  
   627 : ar-alef                                           arAlef                   ar-alef                                 Arabic                                  ARABIC LETTER ALEF  

   251 : ipa-alpha                                         alphalatin               ipa-alpha                               IPA Extensions                          LATIN SMALL LETTER ALPHA
   3B1 : alpha                                             alpha                    alpha                                   Greek and Coptic                        GREEK SMALL LETTER ALPHA

    26 : ampersand                                         ampersand                ampersand                               Basic Latin                             AMPERSAND           
  FE60 : smll-ampersand                                    -                        smll-ampersand                          Small Form Variants                     SMALL AMPERSAND     
  FF06 : fwd-ampersand                                     ampersandfullwidth       fwd-ampersand                           Halfwidth and Fullwidth Forms           FULLWIDTH AMPERSAND 

  1829 : mong-ang                                          -                        mong-ang                                Mongolian                               MONGOLIAN LETTER ANG
  3124 : bopo-ang                                          angbopomofo              bopo-ang                                Bopomofo                                BOPOMOFO LETTER ANG 

   902 : deva-anusvara                                     dvAnusvara               deva-anusvara                           Devanagari                              DEVANAGARI SIGN ANUSVARA
   982 : beng-anusvara                                     beAnusvara               beng-anusvara                           Bengali                                 BENGALI SIGN ANUSVARA
   A82 : gujr-anusvara                                     gjAnusvara               gujr-anusvara                           Gujarati                                GUJARATI SIGN ANUSVARA
   B02 : orya-anusvara                                     odAnusvara               orya-anusvara                           Oriya                                   ORIYA SIGN ANUSVARA 
   C82 : knda-anusvara                                     knAnusvara               knda-anusvara                           Kannada                                 KANNADA SIGN ANUSVARA

   B82 : taml-anusvarasign                                 taAnusvara               taml-anusvarasign                       Tamil                                   TAMIL SIGN ANUSVARA 
   C02 : telu-anusvarasign                                 teAnusvara               telu-anusvarasign                       Telugu                                  TELUGU SIGN ANUSVARA
   D02 : mlym-anusvarasign                                 mlAnusvara               mlym-anusvarasign                       Malayalam                               MALAYALAM SIGN ANUSVARA

    5E : asciicircum                                       asciicircum              asciicircum                             Basic Latin                             CIRCUMFLEX ACCENT   
  FF3E : fwd-asciicircum                                   asciicircumfullwidth     fwd-asciicircum                         Halfwidth and Fullwidth Forms           FULLWIDTH CIRCUMFLEX ACCENT

    7E : asciitilde                                        asciitilde               asciitilde                              Basic Latin                             TILDE               
  FF5E : fwd-asciitilde                                    asciitildefullwidth      fwd-asciitilde                          Halfwidth and Fullwidth Forms           FULLWIDTH TILDE     

  3041 : hira-asmall                                       asmallhiragana           hira-asmall                             Hiragana                                HIRAGANA LETTER SMALL A
  30A1 : kata-asmall                                       asmallkatakana           kata-asmall                             Katakana                                KATAKANA LETTER SMALL A

    2A : asterisk                                          asterisk                 asterisk                                Basic Latin                             ASTERISK            
  FE61 : smll-asterisk                                     asterisksmall            smll-asterisk                           Small Form Variants                     SMALL ASTERISK      
  FF0A : fwd-asterisk                                      asteriskfullwidth        fwd-asterisk                            Halfwidth and Fullwidth Forms           FULLWIDTH ASTERISK  

    40 : at                                                at                       at                                      Basic Latin                             COMMERCIAL AT       
  FF20 : fwd-at                                            atfullwidth              fwd-at                                  Halfwidth and Fullwidth Forms           FULLWIDTH COMMERCIAL AT

   914 : deva-au                                           dvAu                     deva-au                                 Devanagari                              DEVANAGARI LETTER AU
   994 : beng-au                                           beAu                     beng-au                                 Bengali                                 BENGALI LETTER AU   
   A14 : guru-au                                           guAu                     guru-au                                 Gurmukhi                                GURMUKHI LETTER AU  
   A94 : gujr-au                                           gjAu                     gujr-au                                 Gujarati                                GUJARATI LETTER AU  
   B14 : orya-au                                           odAu                     orya-au                                 Oriya                                   ORIYA LETTER AU     
   B94 : taml-au                                           taAu                     taml-au                                 Tamil                                   TAMIL LETTER AU     
   C14 : telu-au                                           teAu                     telu-au                                 Telugu                                  TELUGU LETTER AU    
   C94 : knda-au                                           knAu                     knda-au                                 Kannada                                 KANNADA LETTER AU   
   D14 : mlym-au                                           mlAu                     mlym-au                                 Malayalam                               MALAYALAM LETTER AU 
  3120 : bopo-au                                           aubopomofo               bopo-au                                 Bopomofo                                BOPOMOFO LETTER AU  
  A737 : au                                                -                        au                                      Latin Extended-D                        LATIN SMALL LETTER AU

   9D7 : beng-aulengthmark                                 beAulength               beng-aulengthmark                       Bengali                                 BENGALI AU LENGTH MARK
   B57 : orya-aulengthmark                                 odAulength               orya-aulengthmark                       Oriya                                   ORIYA AU LENGTH MARK
   BD7 : taml-aulengthmark                                 taAulength               taml-aulengthmark                       Tamil                                   TAMIL AU LENGTH MARK

   94C : deva-ausign                                       dvAusign                 deva-ausign                             Devanagari                              DEVANAGARI VOWEL SIGN AU
   9CC : beng-ausign                                       beAusign                 beng-ausign                             Bengali                                 BENGALI VOWEL SIGN AU
   A4C : guru-ausign                                       guAusign                 guru-ausign                             Gurmukhi                                GURMUKHI VOWEL SIGN AU
   ACC : gujr-ausign                                       gjAusign                 gujr-ausign                             Gujarati                                GUJARATI VOWEL SIGN AU
   B4C : orya-ausign                                       odAusign                 orya-ausign                             Oriya                                   ORIYA VOWEL SIGN AU 
   BCC : taml-ausign                                       taAusign                 taml-ausign                             Tamil                                   TAMIL VOWEL SIGN AU 
