# CJK Unified Ideographs Extension A 3400 - 4DBF
350E	cjkunifiedideograph350e	CJK UNIFIED IDEOGRAPH-350E
350F	cjkunifiedideograph350f	CJK UNIFIED IDEOGRAPH-350F
3510	cjkunifiedideograph3510	CJK UNIFIED IDEOGRAPH-3510
3511	cjkunifiedideograph3511	CJK UNIFIED IDEOGRAPH-3511
3512	cjkunifiedideograph3512	CJK UNIFIED IDEOGRAPH-3512
3513	cjkunifiedideograph3513	CJK UNIFIED IDEOGRAPH-3513
3514	cjkunifiedideograph3514	CJK UNIFIED IDEOGRAPH-3514
3515	cjkunifiedideograph3515	CJK UNIFIED IDEOGRAPH-3515
3516	cjkunifiedideograph3516	CJK UNIFIED IDEOGRAPH-3516
3517	cjkunifiedideograph3517	CJK UNIFIED IDEOGRAPH-3517
3518	cjkunifiedideograph3518	CJK UNIFIED IDEOGRAPH-3518
3519	cjkunifiedideograph3519	CJK UNIFIED IDEOGRAPH-3519
351A	cjkunifiedideograph351a	CJK UNIFIED IDEOGRAPH-351A
351B	cjkunifiedideograph351b	CJK UNIFIED IDEOGRAPH-351B
351C	cjkunifiedideograph351c	CJK UNIFIED IDEOGRAPH-351C
351D	cjkunifiedideograph351d	CJK UNIFIED IDEOGRAPH-351D
351E	cjkunifiedideograph351e	CJK UNIFIED IDEOGRAPH-351E
351F	cjkunifiedideograph351f	CJK UNIFIED IDEOGRAPH-351F
3520	cjkunifiedideograph3520	CJK UNIFIED IDEOGRAPH-3520
3521	cjkunifiedideograph3521	CJK UNIFIED IDEOGRAPH-3521
3522	cjkunifiedideograph3522	CJK UNIFIED IDEOGRAPH-3522
3523	cjkunifiedideograph3523	CJK UNIFIED IDEOGRAPH-3523
3524	cjkunifiedideograph3524	CJK UNIFIED IDEOGRAPH-3524
3525	cjkunifiedideograph3525	CJK UNIFIED IDEOGRAPH-3525
3526	cjkunifiedideograph3526	CJK UNIFIED IDEOGRAPH-3526
3527	cjkunifiedideograph3527	CJK UNIFIED IDEOGRAPH-3527
3528	cjkunifiedideograph3528	CJK UNIFIED IDEOGRAPH-3528
3529	cjkunifiedideograph3529	CJK UNIFIED IDEOGRAPH-3529
352A	cjkunifiedideograph352a	CJK UNIFIED IDEOGRAPH-352A
352B	cjkunifiedideograph352b	CJK UNIFIED IDEOGRAPH-352B
352C	cjkunifiedideograph352c	CJK UNIFIED IDEOGRAPH-352C
352D	cjkunifiedideograph352d	CJK UNIFIED IDEOGRAPH-352D
352E	cjkunifiedideograph352e	CJK UNIFIED IDEOGRAPH-352E
352F	cjkunifiedideograph352f	CJK UNIFIED IDEOGRAPH-352F
3530	cjkunifiedideograph3530	CJK UNIFIED IDEOGRAPH-3530
3531	cjkunifiedideograph3531	CJK UNIFIED IDEOGRAPH-3531
3532	cjkunifiedideograph3532	CJK UNIFIED IDEOGRAPH-3532
3533	cjkunifiedideograph3533	CJK UNIFIED IDEOGRAPH-3533
3534	cjkunifiedideograph3534	CJK UNIFIED IDEOGRAPH-3534
3535	cjkunifiedideograph3535	CJK UNIFIED IDEOGRAPH-3535
3536	cjkunifiedideograph3536	CJK UNIFIED IDEOGRAPH-3536
3537	cjkunifiedideograph3537	CJK UNIFIED IDEOGRAPH-3537
3538	cjkunifiedideograph3538	CJK UNIFIED IDEOGRAPH-3538
3539	cjkunifiedideograph3539	CJK UNIFIED IDEOGRAPH-3539
353A	cjkunifiedideograph353a	CJK UNIFIED IDEOGRAPH-353A
353B	cjkunifiedideograph353b	CJK UNIFIED IDEOGRAPH-353B
353C	cjkunifiedideograph353c	CJK UNIFIED IDEOGRAPH-353C
353D	cjkunifiedideograph353d	CJK UNIFIED IDEOGRAPH-353D
353E	cjkunifiedideograph353e	CJK UNIFIED IDEOGRAPH-353E
353F	cjkunifiedideograph353f	CJK UNIFIED IDEOGRAPH-353F
3540	cjkunifiedideograph3540	CJK UNIFIED IDEOGRAPH-3540
3541	cjkunifiedideograph3541	CJK UNIFIED IDEOGRAPH-3541
3542	cjkunifiedideograph3542	CJK UNIFIED IDEOGRAPH-3542
3543	cjkunifiedideograph3543	CJK UNIFIED IDEOGRAPH-3543
3544	cjkunifiedideograph3544	CJK UNIFIED IDEOGRAPH-3544
3545	cjkunifiedideograph3545	CJK UNIFIED IDEOGRAPH-3545
3546	cjkunifiedideograph3546	CJK UNIFIED IDEOGRAPH-3546
3547	cjkunifiedideograph3547	CJK UNIFIED IDEOGRAPH-3547
3548	cjkunifiedideograph3548	CJK UNIFIED IDEOGRAPH-3548
3549	cjkunifiedideograph3549	CJK UNIFIED IDEOGRAPH-3549
354A	cjkunifiedideograph354a	CJK UNIFIED IDEOGRAPH-354A
354B	cjkunifiedideograph354b	CJK UNIFIED IDEOGRAPH-354B
354C	cjkunifiedideograph354c	CJK UNIFIED IDEOGRAPH-354C
354D	cjkunifiedideograph354d	CJK UNIFIED IDEOGRAPH-354D
354E	cjkunifiedideograph354e	CJK UNIFIED IDEOGRAPH-354E
354F	cjkunifiedideograph354f	CJK UNIFIED IDEOGRAPH-354F
3550	cjkunifiedideograph3550	CJK UNIFIED IDEOGRAPH-3550
3551	cjkunifiedideograph3551	CJK UNIFIED IDEOGRAPH-3551
3552	cjkunifiedideograph3552	CJK UNIFIED IDEOGRAPH-3552
3553	cjkunifiedideograph3553	CJK UNIFIED IDEOGRAPH-3553
3554	cjkunifiedideograph3554	CJK UNIFIED IDEOGRAPH-3554
3555	cjkunifiedideograph3555	CJK UNIFIED IDEOGRAPH-3555
3556	cjkunifiedideograph3556	CJK UNIFIED IDEOGRAPH-3556
3557	cjkunifiedideograph3557	CJK UNIFIED IDEOGRAPH-3557
3558	cjkunifiedideograph3558	CJK UNIFIED IDEOGRAPH-3558
3559	cjkunifiedideograph3559	CJK UNIFIED IDEOGRAPH-3559
355A	cjkunifiedideograph355a	CJK UNIFIED IDEOGRAPH-355A
355B	cjkunifiedideograph355b	CJK UNIFIED IDEOGRAPH-355B
355C	cjkunifiedideograph355c	CJK UNIFIED IDEOGRAPH-355C
355D	cjkunifiedideograph355d	CJK UNIFIED IDEOGRAPH-355D
355E	cjkunifiedideograph355e	CJK UNIFIED IDEOGRAPH-355E
355F	cjkunifiedideograph355f	CJK UNIFIED IDEOGRAPH-355F
3560	cjkunifiedideograph3560	CJK UNIFIED IDEOGRAPH-3560
3561	cjkunifiedideograph3561	CJK UNIFIED IDEOGRAPH-3561
3562	cjkunifiedideograph3562	CJK UNIFIED IDEOGRAPH-3562
3563	cjkunifiedideograph3563	CJK UNIFIED IDEOGRAPH-3563
3564	cjkunifiedideograph3564	CJK UNIFIED IDEOGRAPH-3564
