# CJK Compatibility Ideographs F900 - FAFF
F9E8	cjkcompatibilityideographf9e8	CJK COMPATIBILITY IDEOGRAPH-F9E8
F9E9	cjkcompatibilityideographf9e9	CJK COMPATIBILITY IDEOGRAPH-F9E9
F9EA	cjkcompatibilityideographf9ea	CJK COMPATIBILITY IDEOGRAPH-F9EA
F9EB	cjkcompatibilityideographf9eb	CJK COMPATIBILITY IDEOGRAPH-F9EB
F9EC	cjkcompatibilityideographf9ec	CJK COMPATIBILITY IDEOGRAPH-F9EC
F9ED	cjkcompatibilityideographf9ed	CJK COMPATIBILITY IDEOGRAPH-F9ED
F9EE	cjkcompatibilityideographf9ee	CJK COMPATIBILITY IDEOGRAPH-F9EE
F9EF	cjkcompatibilityideographf9ef	CJK COMPATIBILITY IDEOGRAPH-F9EF
F9F0	cjkcompatibilityideographf9f0	CJK COMPATIBILITY IDEOGRAPH-F9F0
F9F1	cjkcompatibilityideographf9f1	CJK COMPATIBILITY IDEOGRAPH-F9F1
F9F2	cjkcompatibilityideographf9f2	CJK COMPATIBILITY IDEOGRAPH-F9F2
F9F3	cjkcompatibilityideographf9f3	CJK COMPATIBILITY IDEOGRAPH-F9F3
F9F4	cjkcompatibilityideographf9f4	CJK COMPATIBILITY IDEOGRAPH-F9F4
F9F5	cjkcompatibilityideographf9f5	CJK COMPATIBILITY IDEOGRAPH-F9F5
F9F6	cjkcompatibilityideographf9f6	CJK COMPATIBILITY IDEOGRAPH-F9F6
F9F7	cjkcompatibilityideographf9f7	CJK COMPATIBILITY IDEOGRAPH-F9F7
F9F8	cjkcompatibilityideographf9f8	CJK COMPATIBILITY IDEOGRAPH-F9F8
F9F9	cjkcompatibilityideographf9f9	CJK COMPATIBILITY IDEOGRAPH-F9F9
F9FA	cjkcompatibilityideographf9fa	CJK COMPATIBILITY IDEOGRAPH-F9FA
F9FB	cjkcompatibilityideographf9fb	CJK COMPATIBILITY IDEOGRAPH-F9FB
F9FC	cjkcompatibilityideographf9fc	CJK COMPATIBILITY IDEOGRAPH-F9FC
F9FD	cjkcompatibilityideographf9fd	CJK COMPATIBILITY IDEOGRAPH-F9FD
F9FE	cjkcompatibilityideographf9fe	CJK COMPATIBILITY IDEOGRAPH-F9FE
F9FF	cjkcompatibilityideographf9ff	CJK COMPATIBILITY IDEOGRAPH-F9FF
FA00	cjkcompatibilityideographfa00	CJK COMPATIBILITY IDEOGRAPH-FA00
FA01	cjkcompatibilityideographfa01	CJK COMPATIBILITY IDEOGRAPH-FA01
FA02	cjkcompatibilityideographfa02	CJK COMPATIBILITY IDEOGRAPH-FA02
FA03	cjkcompatibilityideographfa03	CJK COMPATIBILITY IDEOGRAPH-FA03
FA04	cjkcompatibilityideographfa04	CJK COMPATIBILITY IDEOGRAPH-FA04
FA05	cjkcompatibilityideographfa05	CJK COMPATIBILITY IDEOGRAPH-FA05
FA06	cjkcompatibilityideographfa06	CJK COMPATIBILITY IDEOGRAPH-FA06
FA07	cjkcompatibilityideographfa07	CJK COMPATIBILITY IDEOGRAPH-FA07
FA08	cjkcompatibilityideographfa08	CJK COMPATIBILITY IDEOGRAPH-FA08
