# CJK Compatibility Ideographs Supplement 2F800 - 2FA1F
2F8B2	cjkcompatibilityideograph2f8b2	CJK COMPATIBILITY IDEOGRAPH-2F8B2
2F8B3	cjkcompatibilityideograph2f8b3	CJK COMPATIBILITY IDEOGRAPH-2F8B3
2F8B4	cjkcompatibilityideograph2f8b4	CJK COMPATIBILITY IDEOGRAPH-2F8B4
2F8B5	cjkcompatibilityideograph2f8b5	CJK COMPATIBILITY IDEOGRAPH-2F8B5
2F8B6	cjkcompatibilityideograph2f8b6	CJK COMPATIBILITY IDEOGRAPH-2F8B6
2F8B7	cjkcompatibilityideograph2f8b7	CJK COMPATIBILITY IDEOGRAPH-2F8B7
2F8B8	cjkcompatibilityideograph2f8b8	CJK COMPATIBILITY IDEOGRAPH-2F8B8
2F8B9	cjkcompatibilityideograph2f8b9	CJK COMPATIBILITY IDEOGRAPH-2F8B9
2F8BA	cjkcompatibilityideograph2f8ba	CJK COMPATIBILITY IDEOGRAPH-2F8BA
2F8BB	cjkcompatibilityideograph2f8bb	CJK COMPATIBILITY IDEOGRAPH-2F8BB
2F8BC	cjkcompatibilityideograph2f8bc	CJK COMPATIBILITY IDEOGRAPH-2F8BC
2F8BD	cjkcompatibilityideograph2f8bd	CJK COMPATIBILITY IDEOGRAPH-2F8BD
2F8BE	cjkcompatibilityideograph2f8be	CJK COMPATIBILITY IDEOGRAPH-2F8BE
2F8BF	cjkcompatibilityideograph2f8bf	CJK COMPATIBILITY IDEOGRAPH-2F8BF
2F8C0	cjkcompatibilityideograph2f8c0	CJK COMPATIBILITY IDEOGRAPH-2F8C0
2F8C1	cjkcompatibilityideograph2f8c1	CJK COMPATIBILITY IDEOGRAPH-2F8C1
2F8C2	cjkcompatibilityideograph2f8c2	CJK COMPATIBILITY IDEOGRAPH-2F8C2
2F8C3	cjkcompatibilityideograph2f8c3	CJK COMPATIBILITY IDEOGRAPH-2F8C3
2F8C4	cjkcompatibilityideograph2f8c4	CJK COMPATIBILITY IDEOGRAPH-2F8C4
2F8C5	cjkcompatibilityideograph2f8c5	CJK COMPATIBILITY IDEOGRAPH-2F8C5
2F8C6	cjkcompatibilityideograph2f8c6	CJK COMPATIBILITY IDEOGRAPH-2F8C6
2F8C7	cjkcompatibilityideograph2f8c7	CJK COMPATIBILITY IDEOGRAPH-2F8C7
2F8C8	cjkcompatibilityideograph2f8c8	CJK COMPATIBILITY IDEOGRAPH-2F8C8
2F8C9	cjkcompatibilityideograph2f8c9	CJK COMPATIBILITY IDEOGRAPH-2F8C9
2F8CA	cjkcompatibilityideograph2f8ca	CJK COMPATIBILITY IDEOGRAPH-2F8CA
2F8CB	cjkcompatibilityideograph2f8cb	CJK COMPATIBILITY IDEOGRAPH-2F8CB
2F8CC	cjkcompatibilityideograph2f8cc	CJK COMPATIBILITY IDEOGRAPH-2F8CC
2F8CD	cjkcompatibilityideograph2f8cd	CJK COMPATIBILITY IDEOGRAPH-2F8CD
2F8CE	cjkcompatibilityideograph2f8ce	CJK COMPATIBILITY IDEOGRAPH-2F8CE
2F8CF	cjkcompatibilityideograph2f8cf	CJK COMPATIBILITY IDEOGRAPH-2F8CF
2F8D0	cjkcompatibilityideograph2f8d0	CJK COMPATIBILITY IDEOGRAPH-2F8D0
2F8D1	cjkcompatibilityideograph2f8d1	CJK COMPATIBILITY IDEOGRAPH-2F8D1
2F8D2	cjkcompatibilityideograph2f8d2	CJK COMPATIBILITY IDEOGRAPH-2F8D2
2F8D3	cjkcompatibilityideograph2f8d3	CJK COMPATIBILITY IDEOGRAPH-2F8D3
2F8D4	cjkcompatibilityideograph2f8d4	CJK COMPATIBILITY IDEOGRAPH-2F8D4
2F8D5	cjkcompatibilityideograph2f8d5	CJK COMPATIBILITY IDEOGRAPH-2F8D5
2F8D6	cjkcompatibilityideograph2f8d6	CJK COMPATIBILITY IDEOGRAPH-2F8D6
2F8D7	cjkcompatibilityideograph2f8d7	CJK COMPATIBILITY IDEOGRAPH-2F8D7
2F8D8	cjkcompatibilityideograph2f8d8	CJK COMPATIBILITY IDEOGRAPH-2F8D8
