# Unified Canadian Aboriginal Syllabics 1400 - 167F
14E8	canadiansyllabicslwaa	CANADIAN SYLLABICS LWAA
14E9	canadiansyllabicswestcreelwaa	CANADIAN SYLLABICS WEST-CREE LWAA
14EA	canadiansyllabicsl	CANADIAN SYLLABICS L
14EB	canadiansyllabicswestcreel	CANADIAN SYLLABICS WEST-CREE L
14EC	canadiansyllabicsmediall	CANADIAN SYLLABICS MEDIAL L
14ED	canadiansyllabicsse	CANADIAN SYLLABICS SE
14EE	canadiansyllabicssaai	CANADIAN SYLLABICS SAAI
14EF	canadiansyllabicssi	CANADIAN SYLLABICS SI
14F0	canadiansyllabicssii	CANADIAN SYLLABICS SII
14F1	canadiansyllabicsso	CANADIAN SYLLABICS SO
14F2	canadiansyllabicssoo	CANADIAN SYLLABICS SOO
14F3	canadiansyllabicsycreesoo	CANADIAN SYLLABICS Y-CREE SOO
14F4	canadiansyllabicssa	CANADIAN SYLLABICS SA
14F5	canadiansyllabicssaa	CANADIAN SYLLABICS SAA
14F6	canadiansyllabicsswe	CANADIAN SYLLABICS SWE
14F7	canadiansyllabicswestcreeswe	CANADIAN SYLLABICS WEST-CREE SWE
14F8	canadiansyllabicsswi	CANADIAN SYLLABICS SWI
14F9	canadiansyllabicswestcreeswi	CANADIAN SYLLABICS WEST-CREE SWI
14FA	canadiansyllabicsswii	CANADIAN SYLLABICS SWII
14FB	canadiansyllabicswestcreeswii	CANADIAN SYLLABICS WEST-CREE SWII
14FC	canadiansyllabicsswo	CANADIAN SYLLABICS SWO
14FD	canadiansyllabicswestcreeswo	CANADIAN SYLLABICS WEST-CREE SWO
14FE	canadiansyllabicsswoo	CANADIAN SYLLABICS SWOO
14FF	canadiansyllabicswestcreeswoo	CANADIAN SYLLABICS WEST-CREE SWOO
1500	canadiansyllabicsswa	CANADIAN SYLLABICS SWA
1501	canadiansyllabicswestcreeswa	CANADIAN SYLLABICS WEST-CREE SWA
1502	canadiansyllabicsswaa	CANADIAN SYLLABICS SWAA
1503	canadiansyllabicswestcreeswaa	CANADIAN SYLLABICS WEST-CREE SWAA
1504	canadiansyllabicsnaskapiswaa	CANADIAN SYLLABICS NASKAPI SWAA
1505	canadiansyllabicss	CANADIAN SYLLABICS S
1506	canadiansyllabicsathapascans	CANADIAN SYLLABICS ATHAPASCAN S
1507	canadiansyllabicssw	CANADIAN SYLLABICS SW
1508	canadiansyllabicsblackfoots	CANADIAN SYLLABICS BLACKFOOT S
1509	canadiansyllabicsmoosecreesk	CANADIAN SYLLABICS MOOSE-CREE SK
150A	canadiansyllabicsnaskapiskw	CANADIAN SYLLABICS NASKAPI SKW
150B	canadiansyllabicsnaskapisw	CANADIAN SYLLABICS NASKAPI S-W
150C	canadiansyllabicsnaskapispwa	CANADIAN SYLLABICS NASKAPI SPWA
150D	canadiansyllabicsnaskapistwa	CANADIAN SYLLABICS NASKAPI STWA
150E	canadiansyllabicsnaskapiskwa	CANADIAN SYLLABICS NASKAPI SKWA
150F	canadiansyllabicsnaskapiscwa	CANADIAN SYLLABICS NASKAPI SCWA
1510	canadiansyllabicsshe	CANADIAN SYLLABICS SHE
1511	canadiansyllabicsshi	CANADIAN SYLLABICS SHI
1512	canadiansyllabicsshii	CANADIAN SYLLABICS SHII
1513	canadiansyllabicssho	CANADIAN SYLLABICS SHO
