# Cuneiform 12000 - 123FF
12152	cuneiformsignimsquared	CUNEIFORM SIGN IM SQUARED
12153	cuneiformsignimin	CUNEIFORM SIGN IMIN
12154	cuneiformsignin	CUNEIFORM SIGN IN
12155	cuneiformsignir	CUNEIFORM SIGN IR
12156	cuneiformsignish	CUNEIFORM SIGN ISH
12157	cuneiformsignka	CUNEIFORM SIGN KA
12158	cuneiformsignkatimesa	CUNEIFORM SIGN KA TIMES A
12159	cuneiformsignkatimesad	CUNEIFORM SIGN KA TIMES AD
1215A	cuneiformsignkatimesadplusku3	CUNEIFORM SIGN KA TIMES AD PLUS KU3
1215B	cuneiformsignkatimesash2	CUNEIFORM SIGN KA TIMES ASH2
