# Miscellaneous Symbols and Pictographs 1F300 - 1F5FF
1F3D6	beachUmbrella	BEACH WITH UMBRELLA
1F3D7	buildingConstruction	BUILDING CONSTRUCTION
1F3D8	houseBuildings	HOUSE BUILDINGS
1F3D9	cityscape	CITYSCAPE
1F3DA	derelictHouseBuilding	DERELICT HOUSE BUILDING
1F3DB	classicalBuilding	CLASSICAL BUILDING
1F3DC	desert	DESERT
1F3DD	desertIsland	DESERT ISLAND
1F3DE	nationalPark	NATIONAL PARK
1F3DF	stadium	STADIUM
1F3E0	houseBuilding	HOUSE BUILDING
1F3E1	houseGarden	HOUSE WITH GARDEN
1F3E2	officeBuilding	OFFICE BUILDING
1F3E3	japanesePostOffice	JAPANESE POST OFFICE
1F3E4	europeanPostOffice	EUROPEAN POST OFFICE
1F3E5	hospital	HOSPITAL
1F3E6	bank	BANK
1F3E7	automatedTellerMachine	AUTOMATED TELLER MACHINE
1F3E8	hotel	HOTEL
1F3E9	loveHotel	LOVE HOTEL
1F3EA	convenienceStore	CONVENIENCE STORE
1F3EB	school	SCHOOL
1F3EC	departmentStore	DEPARTMENT STORE
1F3ED	factory	FACTORY
1F3EE	izakayaLantern	IZAKAYA LANTERN
1F3EF	japaneseCastle	JAPANESE CASTLE
1F3F0	europeanCastle	EUROPEAN CASTLE
1F3F1	whitePennant	WHITE PENNANT
1F3F2	blackPennant	BLACK PENNANT
1F3F3	wavingWhiteFlag	WAVING WHITE FLAG
1F3F4	wavingBlackFlag	WAVING BLACK FLAG
1F3F5	rosette	ROSETTE
1F3F6	blackRosette	BLACK ROSETTE
1F3F7	label	LABEL
1F3F8	badmintonRacquetAndShuttlecock	BADMINTON RACQUET AND SHUTTLECOCK
1F3F9	bowAndArrow	BOW AND ARROW
1F3FA	amphora	AMPHORA
1F3FB	emojiModifierFitzpatrickType-1-2	EMOJI MODIFIER FITZPATRICK TYPE-1-2
1F3FC	emojiModifierFitzpatrickType-3	EMOJI MODIFIER FITZPATRICK TYPE-3
1F3FD	emojiModifierFitzpatrickType-4	EMOJI MODIFIER FITZPATRICK TYPE-4
1F3FE	emojiModifierFitzpatrickType-5	EMOJI MODIFIER FITZPATRICK TYPE-5
1F3FF	emojiModifierFitzpatrickType-6	EMOJI MODIFIER FITZPATRICK TYPE-6
1F400	rat	RAT
1F401	mouse	MOUSE
1F402	ox	OX
1F403	waterBuffalo	WATER BUFFALO
1F404	cow	COW
1F405	tiger	TIGER
1F406	leopard	LEOPARD
1F407	rabbit	RABBIT
1F408	cat	CAT
1F409	dragon	DRAGON
1F40A	crocodile	CROCODILE
1F40B	whale	WHALE
1F40C	snail	SNAIL
1F40D	snake	SNAKE
1F40E	horse	HORSE
1F40F	ram	RAM
1F410	goat	GOAT
1F411	sheep	SHEEP
1F412	monkey	MONKEY
1F413	rooster	ROOSTER
1F414	chicken	CHICKEN
1F415	dog	DOG
1F416	pig	PIG
1F417	boar	BOAR
1F418	elephant	ELEPHANT
1F419	octopus	OCTOPUS
1F41A	spiralShell	SPIRAL SHELL
1F41B	bug	BUG
1F41C	ant	ANT
1F41D	honeybee	HONEYBEE
1F41E	ladyBeetle	LADY BEETLE
1F41F	fish	FISH
1F420	tropicalFish	TROPICAL FISH
1F421	blowfish	BLOWFISH
1F422	turtle	TURTLE
1F423	hatchingChick	HATCHING CHICK
1F424	babyChick	BABY CHICK
1F425	front-facingBabyChick	FRONT-FACING BABY CHICK
1F426	bird	BIRD
1F427	penguin	PENGUIN
1F428	koala	KOALA
1F429	poodle	POODLE
1F42A	dromedaryCamel	DROMEDARY CAMEL
1F42B	bactrianCamel	BACTRIAN CAMEL
1F42C	dolphin	DOLPHIN
1F42D	mouseFace	MOUSE FACE
1F42E	cowFace	COW FACE
1F42F	tigerFace	TIGER FACE
1F430	rabbitFace	RABBIT FACE
1F431	catFace	CAT FACE
1F432	dragonFace	DRAGON FACE
1F433	spoutingWhale	SPOUTING WHALE
1F434	horseFace	HORSE FACE
1F435	monkeyFace	MONKEY FACE
1F436	dogFace	DOG FACE
1F437	pigFace	PIG FACE
1F438	frogFace	FROG FACE
1F439	hamsterFace	HAMSTER FACE
1F43A	wolfFace	WOLF FACE
1F43B	bearFace	BEAR FACE
1F43C	pandaFace	PANDA FACE
1F43D	pigNose	PIG NOSE
1F43E	pawPrints	PAW PRINTS
1F43F	chipmunk	CHIPMUNK
1F440	eyes	EYES
1F441	eye	EYE
1F442	ear	EAR
1F443	nose	NOSE
1F444	mouth	MOUTH
1F445	tongue	TONGUE
1F446	whiteUpPointingBackhandIndex	WHITE UP POINTING BACKHAND INDEX
