# Ethiopic 01200 - 0137F
1362	ethi:fullstop	ETHIOPIC FULL STOP
1363	ethi:comma	ETHIOPIC COMMA
1364	ethi:semicolon	ETHIOPIC SEMICOLON
1365	ethi:colon	ETHIOPIC COLON
1366	ethi:prefacecolon	ETHIOPIC PREFACE COLON
1367	ethi:questionmark	ETHIOPIC QUESTION MARK
1368	ethi:paragraphseparator	ETHIOPIC PARAGRAPH SEPARATOR
1369	ethi:one	ETHIOPIC DIGIT ONE
136A	ethi:two	ETHIOPIC DIGIT TWO
136B	ethi:three	ETHIOPIC DIGIT THREE
136C	ethi:four	ETHIOPIC DIGIT FOUR
136D	ethi:five	ETHIOPIC DIGIT FIVE
136E	ethi:six	ETHIOPIC DIGIT SIX
136F	ethi:seven	ETHIOPIC DIGIT SEVEN
1370	ethi:eight	ETHIOPIC DIGIT EIGHT
1371	ethi:nine	ETHIOPIC DIGIT NINE
1372	ethi:ten	ETHIOPIC NUMBER TEN
1373	ethi:twenty	ETHIOPIC NUMBER TWENTY
1374	ethi:thirty	ETHIOPIC NUMBER THIRTY
1375	ethi:forty	ETHIOPIC NUMBER FORTY
1376	ethi:fifty	ETHIOPIC NUMBER FIFTY
1377	ethi:sixty	ETHIOPIC NUMBER SIXTY
1378	ethi:seventy	ETHIOPIC NUMBER SEVENTY
1379	ethi:eighty	ETHIOPIC NUMBER EIGHTY
137A	ethi:ninety	ETHIOPIC NUMBER NINETY
137B	ethi:hundred	ETHIOPIC NUMBER HUNDRED
137C	ethi:tenthousand	ETHIOPIC NUMBER TEN THOUSAND
